product_id,product_category_id,product_name,product_price
1,2,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.97999954
2,2,Under Armour Men's Highlight MC Football Clea,129.9900055
3,2,Under Armour Men's Renegade D Mid Football Cl,89.98999786
4,2,Under Armour Men's Renegade D Mid Football Cl,89.98999786
5,2,Riddell Youth Revolution Speed Custom Footbal,199.9900055
6,2,Jordan Men's VI Retro TD Football Cleat,134.9900055
7,2,Schutt Youth Recruit Hybrid Custom Football H,99.98999786
8,2,Nike Men's Vapor Carbon Elite TD Football Cle,129.9900055
9,2,Nike Adult Vapor Jet 3.0 Receiver Gloves,50
10,2,Under Armour Men's Highlight MC Football Clea,129.9900055
11,2,Fitness Gear 300 lb Olympic Weight Set,209.9900055
12,2,Under Armour Men's Highlight MC Alter Ego Fla,139.9900055
13,2,Under Armour Men's Renegade D Mid Football Cl,89.98999786
14,2,Quik Shade Summit SX170 10 FT. x 10 FT. Canop,199.9900055
15,2,Under Armour Kids' Highlight RM Alter Ego Sup,59.99000168
16,2,Riddell Youth 360 Custom Football Helmet,299.9899902
17,2,Under Armour Men's Highlight MC Football Clea,129.9900055
18,2,Reebok Men's Full Zip Training Jacket,29.96999931
19,2,Nike Men's Fingertrap Max Training Shoe,124.9899979
20,2,Under Armour Men's Highlight MC Football Clea,129.9900055
21,2,Under Armour Kids' Highlight RM Football Clea,54.99000168
22,2,Kijaro Dual Lock Chair,29.98999977
23,2,Under Armour Men's Highlight MC Alter Ego Hul,139.9900055
24,2,Elevation Training Mask 2.0,79.98999786
25,3,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.97999954
26,3,Nike Men's USA White Home Stadium Soccer Jers,90
27,3,Nike Youth USA Away Stadium Replica Soccer Je,75
28,3,adidas Brazuca 2014 Top Glider Soccer Ball,29.98999977
29,3,Nike Men's USA Away Stadium Replica Soccer Je,90
30,3,adidas Men's Germany Home Soccer Jersey,90
31,3,Nike+ Fuelband SE,99
32,3,PUMA Men's evoPOWER 1 Tricks FG Soccer Cleat,189.9900055
33,3,adidas Brazuca 2014 Top Repliqu‚ Soccer Ball,39.99000168
34,3,"Nike Women's Pro Core 3"" Compression Shorts",28
35,3,adidas Brazuca 2014 Official Match Ball,159.9900055
36,3,adidas Men's Germany Black/Red Away Match Soc,90
37,3,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168
38,3,Nike Men's Hypervenom Phantom Premium FG Socc,0
39,3,Nike Women's Pro Victory Compression Bra,21.98999977
40,3,Quik Shade Summit SX170 10 FT. x 10 FT. Canop,199.9900055
41,3,adidas Men's Mexico Home Soccer Jersey,90
42,3,adidas Kids' F10 Messi TRX FG Soccer Cleat,44.99000168
43,3,Kijaro Dual Lock Chair,29.98999977
44,3,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168
45,3,adidas Men's F10 Messi FG Soccer Cleat,59.99000168
46,3,Quest 12' x 12' Dome Canopy,149.9900055
47,3,Nike Women's Pro Hyperwarm Fitted Tights,24.96999931
48,3,adidas Brazuca Final Rio Official Match Ball,159.9900055
49,4,Diamondback Adult Sorrento Mountain Bike 2014,299.980011
50,4,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.97999954
51,4,MAC Sports Collapsible Wagon,69.98999786
52,4,Easton Mako Youth Bat 2014 (-11),249.9700012
53,4,adidas Brazuca 2014 Top Glider Soccer Ball,29.98999977
54,4,Nike+ Fuelband SE,99
55,4,adidas Brazuca 2014 Top Repliqu‚ Soccer Ball,39.99000168
56,4,Fitbit Flex Wireless Activity & Sleep Wristba,99.94999695
57,4,"Nike Women's Pro Core 3"" Compression Shorts",28
58,4,Diamondback Boys' Insight 24 Performance Hybr,299.9899902
59,4,adidas Brazuca 2014 Official Match Ball,159.9900055
60,4,SOLE E25 Elliptical,999.9899902
61,4,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902
62,4,Easton XL1 Youth Bat 2014 (-10),179.9700012
63,4,Fitness Gear 300 lb Olympic Weight Set,209.9900055
64,4,Nike Women's Pro Victory Compression Bra,21.98999977
65,4,Quik Shade Summit SX170 10 FT. x 10 FT. Canop,199.9900055
66,4,SOLE F85 Treadmill,1799.98999
67,4,Kijaro Dual Lock Chair,29.98999977
68,4,Diamondback Adult Outlook Mountain Bike 2014,309.9899902
